clean|نَظيف||adj|other|m|14
end|نِهاية|نِهايات|noun|common|f|14
to celebrate|اِحْتَفَلَ (يَحْتَفِلُ) اِحْتِفال بِـ||verb|||15
independence|اِسْتِقلال||noun|abstract|m|15
Islam|إسلام||noun|Islam|m|15
to move, to relocate|اِنتَقَلَ (يَنتَقِلُ) اِنْتِقال||verb|||15
country|بَلَد|بِلاد|noun|places|m|15
to graduate|تَخَرَّجَ (يتخرَّجُ) تَخَرُّج||verb|||15
education, upbringing|تَرْبِية||noun|other|f|15
instruction, education|تَعليم||noun|other|m|15
revolution|ثَوْرة|ثَورات|noun|other|f|15
pilgrimage|حَجّ||noun|Islam|m|15
dessert, sweets|حَلْوى|حَلوَيات|noun|food|f|15
special, particular (to)|خاصّ||adj|other||15
rooster|ديك|دِيَكة|noun|animals|m|15
turkey|ديك حَبَش||noun|food|m|15
with, of, owner of|ذو|ذَوو|noun|other|m|15
head|رأس|رُؤوس|noun|body|m|15
Ramadan, the month of fasting|رَمَضان||noun|Islam|m|15
to adorn, to decorate|زَيَّنَ (يُزَيِّنُ) تزيين||verb|||15
square, courtyard|ساحة|ساحات|noun|locations|f|15
to save, to protect|سَلَّمَ (يُسَلِّمُ) تَسْليم||verb|||15
age of a person|سِنّ||noun|common|m|15
to become|صارَ (يَصيرُ) صَيْر، صَيْرورة، مَصير||verb|||15
to fast|صامَ (يَصومُ) صوْم||verb|||15
to pray, to bless|صَلّى (يُصَلّي)||verb|||15
to manufacture, to make|صَنَعَ (يَصنَعُ) صِناعة||verb|||15
food|طَعلم|أطْعِمة|noun|food|m|15
phrase|عِبارة|عِبارات|noun|grammar|f|15
to be off from work|عَطّّلَ (يِعِطِّلُ) تَعْطيل||verb|||15
Feast of Immolation/sacrifice|عيدُ اﻷضْحى||noun|holidays|m|15
Thanksgiving|عيدُ الشُكْرِ||noun|holidays|m|15
Easter|عيدُ الفِصْحِ||noun|holidays|m|15
feast of breaking the Ramadan fast|عيدُ الفِطْرِ||noun|holidays|m|15
Christmas|عيدُ الميلاد||noun|holidays|m|15
dawn, daybreak|فَجْر||noun|times|m|15
pie|فَطيرة|فَطائِر|noun|food|f|15
pumpkin|قَرْع||noun|food|m|15
blessed|مُبارَك||noun|abstract|m|15
intermediate|مُتَوَسِّط||adj|common|m|15
